ASNumber,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue],(NoisePercent=BinValue/NoiseValue),(Status(NoisePercent<100%);Status(BinValue-NoiseValue>0))
24940,304855+-5671,[299184;310526],(1.9%),(visible;positive)
5384,166164+-5671,[160493;171835],(3.4%),(visible;positive)
14061,164916+-5671,[159245;170587],(3.4%),(visible;positive)
17974,156691+-5671,[151020;162362],(3.6%),(visible;positive)
12876,153495+-5671,[147824;159166],(3.7%),(visible;positive)
9039,151841+-5671,[146170;157512],(3.7%),(visible;positive)
15169,112168+-5671,[106497;117839],(5.1%),(visible;positive)
12389,111580+-5671,[105909;117251],(5.1%),(visible;positive)
30083,105077+-5671,[99406;110748],(5.4%),(visible;positive)
14618,104639+-5671,[98968;110310],(5.4%),(visible;positive)
18209,103455+-5671,[97784;109126],(5.5%),(visible;positive)
16276,84638+-5671,[78967;90309],(6.7%),(visible;positive)
3462,80387+-5671,[74716;86058],(7.1%),(visible;positive)
63949,77045+-5671,[71374;82716],(7.4%),(visible;positive)
3320,73411+-5671,[67740;79082],(7.7%),(visible;positive)
7922,72532+-5671,[66861;78203],(7.8%),(visible;positive)
15895,68702+-5671,[63031;74373],(8.3%),(visible;positive)
39572,59681+-5671,[54010;65352],(9.5%),(visible;positive)
45758,59182+-5671,[53511;64853],(9.6%),(visible;positive)
23969,56621+-5671,[50950;62292],(10.0%),(visible;positive)
22625,56135+-5671,[50464;61806],(10.1%),(visible;positive)
15802,53390+-5671,[47719;59061],(10.6%),(visible;positive)
6830,50003+-5671,[44332;55674],(11.3%),(visible;positive)
16509,48534+-5671,[42863;54205],(11.7%),(visible;positive)
8359,46503+-5671,[40832;52174],(12.2%),(visible;positive)
3215,42299+-5671,[36628;47970],(13.4%),(visible;positive)
32780,39195+-5671,[33524;44866],(14.5%),(visible;positive)
17552,38056+-5671,[32385;43727],(14.9%),(visible;positive)
16345,36803+-5671,[31132;42474],(15.4%),(visible;positive)
8369,36798+-5671,[31127;42469],(15.4%),(visible;positive)
12578,34484+-5671,[28813;40155],(16.4%),(visible;positive)
6805,33918+-5671,[28247;39589],(16.7%),(visible;positive)
201679,31715+-5671,[26044;37386],(17.9%),(visible;positive)
21928,31638+-5671,[25967;37309],(17.9%),(visible;positive)
3269,30931+-5671,[25260;36602],(18.3%),(visible;positive)
12714,30147+-5671,[24476;35818],(18.8%),(visible;positive)
13188,29618+-5671,[23947;35289],(19.1%),(visible;positive)
3352,29542+-5671,[23871;35213],(19.2%),(visible;positive)
7018,29404+-5671,[23733;35075],(19.3%),(visible;positive)
27715,29317+-5671,[23646;34988],(19.3%),(visible;positive)
393406,29234+-5671,[23563;34905],(19.4%),(visible;positive)
17451,29027+-5671,[23356;34698],(19.5%),(visible;positive)
9829,28831+-5671,[23160;34502],(19.7%),(visible;positive)
8151,28638+-5671,[22967;34309],(19.8%),(visible;positive)
12322,27424+-5671,[21753;33095],(20.7%),(visible;positive)
45899,26571+-5671,[20900;32242],(21.3%),(visible;positive)
25474,26390+-5671,[20719;32061],(21.5%),(visible;positive)
8972,26368+-5671,[20697;32039],(21.5%),(visible;positive)
3209,26248+-5671,[20577;31919],(21.6%),(visible;positive)
22394,24677+-5671,[19006;30348],(23.0%),(visible;positive)
5089,24506+-5671,[18835;30177],(23.1%),(visible;positive)
31334,23741+-5671,[18070;29412],(23.9%),(visible;positive)
39608,23687+-5671,[18016;29358],(23.9%),(visible;positive)
20473,22369+-5671,[16698;28040],(25.4%),(visible;positive)
25159,22360+-5671,[16689;28031],(25.4%),(visible;positive)
51167,22201+-5671,[16530;27872],(25.5%),(visible;positive)
4713,21476+-5671,[15805;27147],(26.4%),(visible;positive)
25229,21105+-5671,[15434;26776],(26.9%),(visible;positive)
23700,20924+-5671,[15253;26595],(27.1%),(visible;positive)
17072,20255+-5671,[14584;25926],(28.0%),(visible;positive)
15557,20223+-5671,[14552;25894],(28.0%),(visible;positive)
131090,19783+-5671,[14112;25454],(28.7%),(visible;positive)
8402,19357+-5671,[13686;25028],(29.3%),(visible;positive)
22773,19158+-5671,[13487;24829],(29.6%),(visible;positive)
812,19113+-5671,[13442;24784],(29.7%),(visible;positive)
20057,17703+-5671,[12032;23374],(32.0%),(visible;positive)
3842,17681+-5671,[12010;23352],(32.1%),(visible;positive)
5410,17637+-5671,[11966;23308],(32.2%),(visible;positive)
35816,17466+-5671,[11795;23137],(32.5%),(visible;positive)
49505,17347+-5671,[11676;23018],(32.7%),(visible;positive)
28573,17338+-5671,[11667;23009],(32.7%),(visible;positive)
24560,17273+-5671,[11602;22944],(32.8%),(visible;positive)
701,17132+-5671,[11461;22803],(33.1%),(visible;positive)
9009,16908+-5671,[11237;22579],(33.5%),(visible;positive)
55836,16616+-5671,[10945;22287],(34.1%),(visible;positive)
23693,16571+-5671,[10900;22242],(34.2%),(visible;positive)
20115,16543+-5671,[10872;22214],(34.3%),(visible;positive)
6849,16237+-5671,[10566;21908],(34.9%),(visible;positive)
10507,15832+-5671,[10161;21503],(35.8%),(visible;positive)
24875,15735+-5671,[10064;21406],(36.0%),(visible;positive)
25513,15419+-5671,[9748;21090],(36.8%),(visible;positive)
16262,15265+-5671,[9594;20936],(37.2%),(visible;positive)
2856,14897+-5671,[9226;20568],(38.1%),(visible;positive)
209,14891+-5671,[9220;20562],(38.1%),(visible;positive)
30722,14618+-5671,[8947;20289],(38.8%),(visible;positive)
34058,14109+-5671,[8438;19780],(40.2%),(visible;positive)
17676,14107+-5671,[8436;19778],(40.2%),(visible;positive)
12479,14095+-5671,[8424;19766],(40.2%),(visible;positive)
9304,13698+-5671,[8027;19369],(41.4%),(visible;positive)
3303,13591+-5671,[7920;19262],(41.7%),(visible;positive)
31133,12951+-5671,[7280;18622],(43.8%),(visible;positive)
57918,12791+-5671,[7120;18462],(44.3%),(visible;positive)
